fold,r2,mae
0,0.7122964859008789,1.612098217010498
1,0.8084847927093506,1.3826515674591064
2,0.8453832864761353,1.050594687461853
3,0.8397976756095886,1.2557730674743652
4,0.8513203263282776,1.0422602891921997
5,0.7176135778427124,1.5427310466766357
6,0.8637841939926147,1.0792561769485474
7,0.8009182214736938,1.294105052947998
8,0.8127809762954712,1.2244120836257935
9,0.6981115937232971,1.3042898178100586
