fold,r2_A,r2_E
0,0.5404114103607778,0.7389606143510714
1,0.6981441852546154,0.8167379856724211
2,0.7554225544683764,0.7382497648441162
3,0.7264569341300011,0.811400062260914
4,0.754463967096616,0.8005790684276921
5,0.7923817448954825,0.7941613867318844
6,0.7899269592641927,0.8208946462372687
7,0.6839143024464762,0.7023201989326107
8,0.710809216302186,0.7652755609924985
9,0.631679125947032,0.7339196048216325
