block,model,fold,r2,mae
A: PTA4 mean,Ridge,0,0.5404114103607778,2.0202562693086343
A: PTA4 mean,Ridge,1,0.6981441852546154,1.8774197738849945
A: PTA4 mean,Ridge,2,0.7554225544683764,1.3596690622567933
A: PTA4 mean,Ridge,3,0.7264569341300011,1.6322843463214773
A: PTA4 mean,Ridge,4,0.754463967096616,1.339556955255744
A: PTA4 mean,Ridge,5,0.7923817448954825,1.421149330756398
A: PTA4 mean,Ridge,6,0.7899269592641927,1.4043415227183613
A: PTA4 mean,Ridge,7,0.6839143024464762,1.6864686934319224
A: PTA4 mean,Ridge,8,0.710809216302186,1.5730103681827683
A: PTA4 mean,Ridge,9,0.631679125947032,1.7039411856936368
A: PTA4 mean,RF,0,0.4988901905948786,2.0257743368380448
A: PTA4 mean,RF,1,0.752954708600574,1.649061715999002
A: PTA4 mean,RF,2,0.7938137377894101,1.1014105265615384
A: PTA4 mean,RF,3,0.7637572663294462,1.5259835310056946
A: PTA4 mean,RF,4,0.6944151872989854,1.4058994285608988
A: PTA4 mean,RF,5,0.7283341171266724,1.4020471256371614
A: PTA4 mean,RF,6,0.8351589844234031,1.1696065732157697
A: PTA4 mean,RF,7,0.6240989404112504,1.7246449687296554
A: PTA4 mean,RF,8,0.7517112461733139,1.3881779513458081
A: PTA4 mean,RF,9,0.7394465336963467,1.445081939355129
A: PTA4 mean,LightGBM,0,0.4880975995907033,2.03854611862423
A: PTA4 mean,LightGBM,1,0.7483671525007503,1.663354999737679
A: PTA4 mean,LightGBM,2,0.7035439123400467,1.3128030170801757
A: PTA4 mean,LightGBM,3,0.754968758362449,1.5524477265098795
A: PTA4 mean,LightGBM,4,0.6916929072653614,1.4205633836332483
A: PTA4 mean,LightGBM,5,0.7957360713288784,1.2908953921321318
A: PTA4 mean,LightGBM,6,0.8293213894565271,1.183364884049942
A: PTA4 mean,LightGBM,7,0.628250138638922,1.7808062311297261
A: PTA4 mean,LightGBM,8,0.7709579893188203,1.358711646749507
A: PTA4 mean,LightGBM,9,0.7346243159286925,1.4718353645248767
B: Full PTA,Ridge,0,0.5319071695758026,2.0245341737422464
B: Full PTA,Ridge,1,0.6668097949319811,1.8916240617438524
B: Full PTA,Ridge,2,0.735843227172482,1.4188586202927687
B: Full PTA,Ridge,3,0.7055924184975015,1.7124219590831407
B: Full PTA,Ridge,4,0.7551360614717197,1.4023154986831392
B: Full PTA,Ridge,5,0.766173297469087,1.5116990840811464
B: Full PTA,Ridge,6,0.7810951105583582,1.423506812639689
B: Full PTA,Ridge,7,0.6555381599444206,1.805842583745317
B: Full PTA,Ridge,8,0.729447056574862,1.5629465562680755
B: Full PTA,Ridge,9,0.6007382685066414,1.7556786459980123
B: Full PTA,RF,0,0.6935461606058224,1.5348293032220295
B: Full PTA,RF,1,0.7927926081407455,1.4349288186906852
B: Full PTA,RF,2,0.83001713166157,1.0917031685256382
B: Full PTA,RF,3,0.823524810814913,1.3281755264145756
B: Full PTA,RF,4,0.8109449127121616,1.1850567216998995
B: Full PTA,RF,5,0.8118849225692311,1.1746649669892708
B: Full PTA,RF,6,0.845583720259909,1.1111006962094199
B: Full PTA,RF,7,0.759745638143011,1.4127693734969355
B: Full PTA,RF,8,0.801289036454012,1.2543149677865362
B: Full PTA,RF,9,0.7287218392717213,1.2031805449881119
B: Full PTA,LightGBM,0,0.606808546361872,1.8579228956212055
B: Full PTA,LightGBM,1,0.7400766414367277,1.6099600966720704
B: Full PTA,LightGBM,2,0.7352382480612525,1.2859734220036059
B: Full PTA,LightGBM,3,0.7862541912763501,1.4368647844570785
B: Full PTA,LightGBM,4,0.7682466349728262,1.3446937050819752
B: Full PTA,LightGBM,5,0.761379675344818,1.253095823229951
B: Full PTA,LightGBM,6,0.8048253352726874,1.2453738387611988
B: Full PTA,LightGBM,7,0.6764447259159299,1.6238357715837752
B: Full PTA,LightGBM,8,0.7387766998475114,1.3810853955169122
B: Full PTA,LightGBM,9,0.7059812945230817,1.3218498168303099
C: +Loudness,Ridge,0,0.5600648658114318,2.01641709308908
C: +Loudness,Ridge,1,0.6555216641347157,1.922229526266022
C: +Loudness,Ridge,2,0.7083442607875243,1.539861474151808
C: +Loudness,Ridge,3,0.6948743944130219,1.683087535510292
C: +Loudness,Ridge,4,0.7456362924760113,1.388448975598207
C: +Loudness,Ridge,5,0.7613222180716801,1.5249438063683605
C: +Loudness,Ridge,6,0.7967270019356094,1.4014225195975265
C: +Loudness,Ridge,7,0.6775608945637739,1.751715752931228
C: +Loudness,Ridge,8,0.7032513877324346,1.6771790578845962
C: +Loudness,Ridge,9,0.6508656052578226,1.616018203520696
C: +Loudness,RF,0,0.7082773151547272,1.4999090818061753
C: +Loudness,RF,1,0.7897078905140651,1.4453705756905895
C: +Loudness,RF,2,0.8589884515037007,1.0021248063284653
C: +Loudness,RF,3,0.8269786981739524,1.3084911743308514
C: +Loudness,RF,4,0.8270881052782668,1.107958149472372
C: +Loudness,RF,5,0.8179781959524682,1.1472113898485174
C: +Loudness,RF,6,0.8415154837016502,1.1287286384874151
C: +Loudness,RF,7,0.7450519553023975,1.475972588483671
C: +Loudness,RF,8,0.8081692464454582,1.261099196554991
C: +Loudness,RF,9,0.7425175580871187,1.1638263899885861
C: +Loudness,LightGBM,0,0.691522969150618,1.608095621466337
C: +Loudness,LightGBM,1,0.8056908303198388,1.4475015211311988
C: +Loudness,LightGBM,2,0.7579478229950314,1.272360835638123
C: +Loudness,LightGBM,3,0.8040254277242507,1.3733616671097566
C: +Loudness,LightGBM,4,0.8226407712752805,1.1419390091265162
C: +Loudness,LightGBM,5,0.7288740992814293,1.3851686731747206
C: +Loudness,LightGBM,6,0.7976802687685411,1.2551844236954375
C: +Loudness,LightGBM,7,0.6797194273844764,1.5777851886092056
C: +Loudness,LightGBM,8,0.7751034126172003,1.3467099400238793
C: +Loudness,LightGBM,9,0.7441826307216296,1.3278495171871385
D: +Cognition,Ridge,0,0.5723033678643497,1.9952109053038458
