model,block,r2,ci_lo,ci_hi
Ridge,E: Full battery,0.7262688146033323,0.6870916462451865,0.7612535248315301
RF,E: Full battery,0.8000273347446709,0.7556130929205555,0.835933306433021
LightGBM,E: Full battery,0.7726198974430638,0.7281832080942527,0.8106405902996634
