severity,block,n,r2,dtt_mean,pta4_mean
<=25 dB,A,228,0.39527544442190227,-7.787281578947368,14.029605263157896
<=25 dB,E,228,0.5827593154837765,-7.787281578947368,14.029605263157896
26-40 dB,A,174,0.08901916472129212,-5.161875287356322,33.168103448275865
26-40 dB,E,174,0.36757176577598677,-5.161875287356322,33.168103448275865
41-60 dB,A,148,0.31046887843793436,-1.0213939189189187,48.229729729729726
41-60 dB,E,148,0.02011977798743856,-1.0213939189189187,48.229729729729726
>60 dB,A,31,-0.2501889575444889,4.833335483870967,67.25806451612904
>60 dB,E,31,-6.210724775413224,4.833335483870967,67.25806451612904
