,0
pta4_better,1.820764833975561
ac_htl_right_2000,0.32047285754229327
age,0.29267511097127286
ls_mlow_left,0.2586239865310942
ac_htl_right_4000,0.23044998583510015
pta4_worse,0.22846820319468364
ac_htl_right_250,0.19347851840292726
ac_htl_left_2000,0.17184610121768418
ac_htl_right_1500,0.16332657777484283
ac_htl_left_4000,0.12885368345698217
ls_mcut_left,0.12798226643564975
ac_htl_right_750,0.12460350934111876
ac_htl_left_1500,0.12173311343477174
ls_mlow_right,0.117647584180691
ls_mhigh_right,0.11684134410719875
hl_progressing,0.11250144919706098
pta4_left,0.10137151194647791
pta4_right,0.09788051973175066
verbal_iq,0.09671680243210967
slope_right,0.09529323041745834
ls_mhigh_left,0.08762073326980094
ac_htl_left_250,0.08427491985588519
ls_mcut_right,0.08170962119892089
demtect,0.07647799604817625
ac_htl_left_1000,0.07264407433521089
net_income,0.06937393656578156
ac_htl_left_500,0.061103397929071865
ucl_mean_right,0.06009161380937939
slope_left,0.05689667307270858
ls_mcut_asym,0.05057436380165329
ucl_mean_left,0.044183624951263406
ac_htl_right_1000,0.04321610279211321
ha_supply_status,0.04257433498486109
pta4_asym,0.040115825188069845
ac_htl_right_500,0.03676411137047279
ac_htl_left_750,0.028095236148140558
school,0.027569686298791394
hl_family_often,0.020525553635432195
education,0.01631714350337839
hl_fluctuating,0.00635890078218201
sex_m,0.00595255738188273
